Archive_Date,Specialty_HIPE,Speciality,Adult_Child,Age_Profile,Time_Bands,Total,Did
31-01-2021,700,Gastro-Enterology,Adult,65+, 6-9 Months,16,22MH
31-01-2021,700,Gastro-Enterology,Adult,65+,18 Months +,1,25MH
31-01-2021,900,Geriatric Medicine,Adult,16-64, 9-12 Months,1,24MH
31-01-2021,1100,Haematology,Adult,16-64,18 Months +,45,13MH
31-01-2021,1100,Haematology,Adult,65+, 0-3 Months,44,8MH
31-01-2021,1100,Haematology,Adult,65+, 3-6 Months,17,17MH
31-01-2021,1100,Haematology,Adult,65+,12-15 Months,18,11MH
31-01-2021,1100,Haematology,Adult,65+,15-18 Months,14,8MH
31-01-2021,1300,Neurology,Adult,16-64,18 Months +,174,17MH
31-01-2021,1300,Neurology,Adult,65+, 0-3 Months,10,16MH
31-01-2021,1300,Neurology,Adult,65+, 3-6 Months,14,14MH
31-01-2021,1300,Neurology,Adult,65+,12-15 Months,7,6MH
31-01-2021,1300,Neurology,Child,0-15,18 Months +,1,18MH
31-01-2021,1503,Gynaecology,Adult,16-64, 3-6 Months,80,30MH
31-01-2021,1503,Gynaecology,Adult,16-64, 6-9 Months,43,10MH
31-01-2021,1503,Gynaecology,Adult,16-64,12-15 Months,63,2MH
31-01-2021,1503,Gynaecology,Adult,16-64,15-18 Months,53,29MH
31-01-2021,1503,Gynaecology,Adult,65+, 9-12 Months,12,9MH
31-01-2021,1503,Gynaecology,Child,0-15, 3-6 Months,3,18MH
31-01-2021,1800,Orthopaedics,Adult,16-64, 0-3 Months,202,17MH
31-01-2021,1800,Orthopaedics,Adult,16-64, 6-9 Months,133,26MH
31-01-2021,1800,Orthopaedics,Adult,16-64,15-18 Months,119,18MH
31-01-2021,1800,Orthopaedics,Adult,16-64,18 Months +,237,33MH
31-01-2021,1800,Orthopaedics,Adult,65+, 3-6 Months,120,36MH
31-01-2021,1800,Orthopaedics,Adult,65+,12-15 Months,106,6MH
31-01-2021,1800,Orthopaedics,Child,0-15, 0-3 Months,36,32MH
31-01-2021,1800,Orthopaedics,Child,0-15, 3-6 Months,9,29MH
31-01-2021,1800,Orthopaedics,Child,0-15, 6-9 Months,8,12MH
31-01-2021,1800,Orthopaedics,Child,0-15,12-15 Months,5,1MH
31-01-2021,1800,Orthopaedics,Child,0-15,15-18 Months,3,35MH
31-01-2021,1900,Paediatrics,Adult,16-64, 9-12 Months,3,35MH
31-01-2021,2003,Maxillo-Facial,Adult,16-64, 9-12 Months,28,3MH
31-01-2021,2003,Maxillo-Facial,Adult,65+,18 Months +,46,17MH
31-01-2021,2003,Maxillo-Facial,Child,0-15, 9-12 Months,10,7MH
31-01-2021,2300,Nephrology,Adult,65+, 3-6 Months,9,20MH
31-01-2021,2300,Nephrology,Adult,65+, 6-9 Months,7,31MH
31-01-2021,2300,Nephrology,Adult,65+,12-15 Months,4,5MH
31-01-2021,2400,Respiratory Medicine,Adult,16-64, 3-6 Months,55,23MH
31-01-2021,2400,Respiratory Medicine,Adult,16-64,12-15 Months,71,26MH
31-01-2021,2400,Respiratory Medicine,Adult,65+, 9-12 Months,44,8MH
31-01-2021,2600,General Surgery,Adult,16-64, 6-9 Months,53,20MH
31-01-2021,2600,General Surgery,Adult,16-64,15-18 Months,55,33MH
31-01-2021,2600,General Surgery,Adult,65+, 9-12 Months,49,5MH
31-01-2021,2600,General Surgery,Child,0-15, 9-12 Months,2,19MH
31-01-2021,2600,General Surgery,Child,0-15,15-18 Months,1,35MH
31-01-2021,5000,General Medicine,Adult,65+, 0-3 Months,46,11MH
31-01-2021,5000,General Medicine,Adult,65+,18 Months +,35,15MH
31-01-2021,7800,Urology,Adult,65+, 0-3 Months,76,32MH
31-01-2021,7800,Urology,Adult,65+, 3-6 Months,81,12MH
31-01-2021,7800,Urology,Adult,65+, 6-9 Months,49,15MH
31-01-2021,7800,Urology,Adult,65+,12-15 Months,41,29MH
31-01-2021,7800,Urology,Adult,65+,15-18 Months,37,20MH
31-01-2021,7800,Urology,Child,0-15, 0-3 Months,24,30MH
31-01-2021,7800,Urology,Child,0-15, 3-6 Months,11,3MH
31-01-2021,8000,Anaesthetics,Adult,16-64, 9-12 Months,7,1MH
31-01-2021,100,Cardiology,Adult,16-64, 0-3 Months,4,25MH
31-01-2021,300,Dermatology,Adult,16-64, 9-12 Months,97,28MH
31-01-2021,300,Dermatology,Adult,65+,18 Months +,6,15MH
31-01-2021,400,Endocrinology,Adult,65+,18 Months +,55,25MH
31-01-2021,402,Diabetes Mellitus,Adult,16-64, 3-6 Months,1,27MH
31-01-2021,402,Diabetes Mellitus,Adult,16-64,12-15 Months,1,4MH
31-01-2021,600,Otolaryngology (ENT),Adult,65+, 9-12 Months,46,25MH
31-01-2021,600,Otolaryngology (ENT),Child,0-15, 9-12 Months,67,8MH
31-01-2021,1100,Haematology,Adult,16-64,12-15 Months,6,36MH
31-01-2021,1100,Haematology,Adult,16-64,18 Months +,7,16MH
31-01-2021,1100,Haematology,Adult,65+, 0-3 Months,18,9MH
31-01-2021,1300,Neurology,Adult,16-64,18 Months +,224,29MH
31-01-2021,1300,Neurology,Adult,65+, 0-3 Months,17,29MH
31-01-2021,1300,Neurology,Adult,65+, 3-6 Months,15,19MH
31-01-2021,1300,Neurology,Adult,65+, 6-9 Months,13,29MH
31-01-2021,1300,Neurology,Adult,65+,15-18 Months,8,1MH
31-01-2021,1503,Gynaecology,Adult,16-64, 3-6 Months,103,31MH
31-01-2021,1503,Gynaecology,Adult,65+, 9-12 Months,16,16MH
31-01-2021,1600,Oncology,Adult,65+, 0-3 Months,16,5MH
31-01-2021,1700,Ophthalmology,Adult,16-64, 3-6 Months,116,18MH
31-01-2021,1700,Ophthalmology,Adult,16-64, 6-9 Months,44,19MH
31-01-2021,1700,Ophthalmology,Adult,16-64,12-15 Months,36,16MH
31-01-2021,1700,Ophthalmology,Adult,65+, 9-12 Months,99,7MH
31-01-2021,1700,Ophthalmology,Child,0-15,12-15 Months,5,31MH
31-01-2021,1800,Orthopaedics,Adult,16-64, 3-6 Months,167,10MH
31-01-2021,1800,Orthopaedics,Adult,16-64, 6-9 Months,100,14MH
31-01-2021,1800,Orthopaedics,Adult,16-64,12-15 Months,153,1MH
31-01-2021,1800,Orthopaedics,Adult,16-64,15-18 Months,123,16MH
31-01-2021,1800,Orthopaedics,Child,0-15, 6-9 Months,15,26MH
31-01-2021,1800,Orthopaedics,Child,0-15,12-15 Months,18,1MH
31-01-2021,1800,Orthopaedics,Child,0-15,15-18 Months,25,2MH
31-01-2021,1900,Paediatrics,Adult,16-64, 9-12 Months,5,6MH
31-01-2021,1900,Paediatrics,Adult,16-64,18 Months +,2,27MH
31-01-2021,1900,Paediatrics,Adult,65+, 0-3 Months,1,24MH
31-01-2021,1900,Paediatrics,Adult,65+, 6-9 Months,1,17MH
31-01-2021,1900,Paediatrics,Child,0-15, 0-3 Months,163,11MH
31-01-2021,1900,Paediatrics,Child,0-15,18 Months +,41,26MH
31-01-2021,2300,Nephrology,Adult,16-64, 3-6 Months,15,14MH
31-01-2021,2300,Nephrology,Adult,16-64, 6-9 Months,19,8MH
31-01-2021,2300,Nephrology,Adult,16-64,12-15 Months,4,19MH
31-01-2021,2300,Nephrology,Adult,65+,15-18 Months,4,11MH
31-01-2021,2300,Nephrology,Child,0-15, 6-9 Months,1,4MH
31-01-2021,2500,Rheumatology,Adult,16-64, 0-3 Months,153,21MH
31-01-2021,2500,Rheumatology,Adult,16-64, 3-6 Months,141,27MH
31-01-2021,2500,Rheumatology,Adult,16-64,12-15 Months,71,25MH
31-01-2021,2500,Rheumatology,Adult,16-64,15-18 Months,42,29MH
31-01-2021,2500,Rheumatology,Adult,65+, 6-9 Months,38,3MH
31-01-2021,2500,Rheumatology,Child,0-15, 3-6 Months,2,36MH
31-01-2021,300,Dermatology,Adult,16-64,15-18 Months,115,6MH
31-01-2021,400,Endocrinology,Adult,16-64, 0-3 Months,195,18MH
31-01-2021,400,Endocrinology,Adult,16-64, 3-6 Months,143,6MH
31-01-2021,400,Endocrinology,Adult,16-64,12-15 Months,5,4MH
31-01-2021,400,Endocrinology,Adult,16-64,15-18 Months,1,25MH
31-01-2021,400,Endocrinology,Adult,65+, 6-9 Months,45,17MH
31-01-2021,600,Otolaryngology (ENT),Adult,65+, 3-6 Months,88,23MH
31-01-2021,600,Otolaryngology (ENT),Adult,65+, 6-9 Months,37,9MH
31-01-2021,600,Otolaryngology (ENT),Adult,65+,12-15 Months,44,10MH
31-01-2021,600,Otolaryngology (ENT),Child,0-15, 0-3 Months,48,9MH
31-01-2021,700,Gastro-Enterology,Adult,16-64, 6-9 Months,32,15MH
31-01-2021,700,Gastro-Enterology,Adult,65+, 9-12 Months,3,25MH
31-01-2021,900,Geriatric Medicine,Adult,16-64, 0-3 Months,2,2MH
31-01-2021,900,Geriatric Medicine,Child,0-15, 3-6 Months,1,28MH
31-01-2021,1100,Haematology,Adult,65+, 9-12 Months,23,6MH
31-01-2021,1100,Haematology,Adult,65+,18 Months +,1,16MH
31-01-2021,1300,Neurology,Adult,65+, 9-12 Months,27,13MH
31-01-2021,1300,Neurology,Adult,65+,18 Months +,1,29MH
31-01-2021,1400,Neurosurgery,Adult,16-64, 0-3 Months,475,36MH
31-01-2021,1400,Neurosurgery,Adult,16-64, 6-9 Months,28,16MH
31-01-2021,1503,Gynaecology,Adult,16-64, 0-3 Months,200,16MH
31-01-2021,1503,Gynaecology,Adult,65+, 3-6 Months,12,7MH
31-01-2021,1503,Gynaecology,Adult,65+, 6-9 Months,4,6MH
31-01-2021,1600,Oncology,Adult,16-64, 0-3 Months,22,31MH
31-01-2021,1600,Oncology,Adult,16-64, 3-6 Months,4,4MH
31-01-2021,1700,Ophthalmology,Adult,65+, 0-3 Months,37,8MH
31-01-2021,1700,Ophthalmology,Adult,65+, 6-9 Months,7,5MH
31-01-2021,1800,Orthopaedics,Adult,65+, 0-3 Months,117,14MH
31-01-2021,2000,Plastic Surgery,Adult,16-64, 3-6 Months,153,14MH
31-01-2021,2000,Plastic Surgery,Adult,16-64, 6-9 Months,122,18MH
31-01-2021,2000,Plastic Surgery,Adult,16-64,12-15 Months,49,11MH
31-01-2021,2000,Plastic Surgery,Adult,16-64,15-18 Months,4,15MH
31-01-2021,2000,Plastic Surgery,Adult,65+, 9-12 Months,26,25MH
31-01-2021,2003,Maxillo-Facial,Adult,16-64, 0-3 Months,16,11MH
31-01-2021,2300,Nephrology,Adult,16-64, 9-12 Months,2,24MH
31-01-2021,2400,Respiratory Medicine,Adult,16-64, 0-3 Months,85,13MH
31-01-2021,2400,Respiratory Medicine,Adult,65+, 3-6 Months,46,3MH
31-01-2021,2400,Respiratory Medicine,Adult,65+, 6-9 Months,36,4MH
31-01-2021,2500,Rheumatology,Adult,16-64, 9-12 Months,1,20MH
31-01-2021,2600,General Surgery,Adult,65+, 0-3 Months,62,35MH
31-01-2021,2600,General Surgery,Adult,65+, 3-6 Months,9,14MH
31-01-2021,2600,General Surgery,Adult,65+, 6-9 Months,1,33MH
31-01-2021,2604,Vascular Surgery,Adult,65+, 0-3 Months,116,28MH
31-01-2021,2604,Vascular Surgery,Adult,65+, 6-9 Months,4,12MH
31-01-2021,2605,Breast Surgery,Adult,16-64, 3-6 Months,59,13MH
31-01-2021,2605,Breast Surgery,Child,0-15, 3-6 Months,1,34MH
31-01-2021,2700,Infectious Diseases,Adult,16-64, 0-3 Months,20,5MH
31-01-2021,7800,Urology,Adult,16-64, 9-12 Months,100,12MH
31-01-2021,8003,Pain Relief,Adult,16-64, 0-3 Months,100,13MH
31-01-2021,8003,Pain Relief,Adult,65+, 6-9 Months,33,36MH
31-01-2021,8003,Pain Relief,Adult,65+,15-18 Months,14,2MH
31-01-2021,8003,Pain Relief,Child,0-15, 3-6 Months,1,8MH
31-01-2021,1503,Gynaecology,Adult,16-64, 3-6 Months,623,19MH
31-01-2021,1503,Gynaecology,Adult,16-64, 6-9 Months,317,10MH
31-01-2021,1503,Gynaecology,Adult,16-64,12-15 Months,83,6MH
31-01-2021,1503,Gynaecology,Adult,16-64,15-18 Months,40,11MH
31-01-2021,1503,Gynaecology,Adult,65+, 9-12 Months,11,11MH
31-01-2021,1503,Gynaecology,Child,0-15, 3-6 Months,14,16MH
31-01-2021,2600,General Surgery,Adult,16-64, 9-12 Months,69,30MH
31-01-2021,2600,General Surgery,Child,0-15, 9-12 Months,5,28MH
31-01-2021,5000,General Medicine,Adult,16-64,18 Months +,40,1MH
31-01-2021,5000,General Medicine,Adult,65+, 3-6 Months,57,28MH
31-01-2021,5000,General Medicine,Adult,65+, 6-9 Months,46,7MH
31-01-2021,5000,General Medicine,Adult,65+,12-15 Months,30,9MH
31-01-2021,5000,General Medicine,Adult,65+,15-18 Months,9,17MH
31-01-2021,5000,General Medicine,Child,0-15, 0-3 Months,3,33MH
31-01-2021,7800,Urology,Adult,16-64, 0-3 Months,46,36MH
31-01-2021,7800,Urology,Adult,16-64,15-18 Months,49,32MH
31-01-2021,7800,Urology,Adult,65+, 3-6 Months,33,7MH
31-01-2021,7800,Urology,Adult,65+, 6-9 Months,29,35MH
31-01-2021,7800,Urology,Adult,65+,12-15 Months,34,8MH
31-01-2021,7800,Urology,Child,0-15, 0-3 Months,1,11MH
31-01-2021,7800,Urology,Child,0-15, 3-6 Months,1,15MH
31-01-2021,7800,Urology,Child,0-15, 6-9 Months,1,3MH
31-01-2021,8003,Pain Relief,Adult,65+,18 Months +,45,28MH
31-01-2021,100,Cardiology,Adult,16-64, 0-3 Months,253,36MH
31-01-2021,100,Cardiology,Adult,16-64, 6-9 Months,107,28MH
31-01-2021,100,Cardiology,Adult,16-64,15-18 Months,92,36MH
31-01-2021,100,Cardiology,Adult,16-64,18 Months +,14,18MH
31-01-2021,100,Cardiology,Adult,65+, 3-6 Months,127,17MH
31-01-2021,100,Cardiology,Adult,65+,12-15 Months,80,12MH
31-01-2021,100,Cardiology,Child,0-15, 0-3 Months,11,35MH
31-01-2021,100,Cardiology,Child,0-15, 3-6 Months,10,1MH
31-01-2021,100,Cardiology,Child,0-15, 6-9 Months,9,30MH
31-01-2021,300,Dermatology,Adult,16-64, 9-12 Months,114,15MH
31-01-2021,300,Dermatology,Adult,65+,18 Months +,159,29MH
31-01-2021,300,Dermatology,Child,0-15, 9-12 Months,36,11MH
31-01-2021,400,Endocrinology,Adult,65+, 9-12 Months,3,5MH
31-01-2021,400,Endocrinology,Adult,65+,18 Months +,17,5MH
31-01-2021,600,Otolaryngology (ENT),Adult,16-64, 0-3 Months,257,8MH
31-01-2021,600,Otolaryngology (ENT),Adult,16-64,15-18 Months,140,27MH
31-01-2021,600,Otolaryngology (ENT),Adult,65+, 9-12 Months,48,34MH
31-01-2021,700,Gastro-Enterology,Adult,16-64, 9-12 Months,131,2MH
31-01-2021,700,Gastro-Enterology,Adult,16-64,18 Months +,25,24MH
31-01-2021,700,Gastro-Enterology,Adult,65+, 0-3 Months,90,13MH
31-01-2021,700,Gastro-Enterology,Adult,65+, 3-6 Months,76,11MH
31-01-2021,700,Gastro-Enterology,Adult,65+,12-15 Months,31,9MH
31-01-2021,1100,Haematology,Adult,16-64,18 Months +,40,9MH
31-01-2021,1100,Haematology,Adult,65+, 0-3 Months,53,20MH
31-01-2021,1100,Haematology,Adult,65+, 3-6 Months,22,28MH
31-01-2021,1100,Haematology,Adult,65+, 6-9 Months,10,36MH
31-01-2021,1100,Haematology,Adult,65+,12-15 Months,26,12MH
31-01-2021,1100,Haematology,Adult,65+,15-18 Months,25,1MH
31-01-2021,1100,Haematology,Child,0-15, 3-6 Months,2,7MH
31-01-2021,1300,Neurology,Adult,16-64,18 Months +,527,2MH
31-01-2021,1300,Neurology,Adult,65+, 0-3 Months,55,6MH
31-01-2021,1300,Neurology,Adult,65+, 6-9 Months,37,10MH
31-01-2021,1300,Neurology,Adult,65+,15-18 Months,35,20MH
31-01-2021,2500,Rheumatology,Adult,16-64, 6-9 Months,95,26MH
31-01-2021,2500,Rheumatology,Adult,16-64,12-15 Months,122,30MH
31-01-2021,2600,General Surgery,Adult,16-64, 0-3 Months,989,36MH
31-01-2021,2600,General Surgery,Adult,16-64, 3-6 Months,83,34MH
31-01-2021,2600,General Surgery,Adult,16-64, 9-12 Months,11,24MH
31-01-2021,2600,General Surgery,Adult,65+, 6-9 Months,9,31MH
31-01-2021,2604,Vascular Surgery,Adult,16-64, 0-3 Months,54,9MH
31-01-2021,2604,Vascular Surgery,Adult,16-64, 9-12 Months,32,6MH
31-01-2021,2604,Vascular Surgery,Adult,16-64,15-18 Months,5,5MH
31-01-2021,2604,Vascular Surgery,Adult,16-64,18 Months +,2,23MH
31-01-2021,2604,Vascular Surgery,Adult,65+, 3-6 Months,44,23MH
31-01-2021,2604,Vascular Surgery,Adult,65+, 6-9 Months,25,4MH
31-01-2021,2604,Vascular Surgery,Adult,65+,12-15 Months,30,2MH
31-01-2021,2700,Infectious Diseases,Adult,65+, 0-3 Months,7,16MH
31-01-2021,7500,Radiotherapy,Adult,16-64, 0-3 Months,11,29MH
31-01-2021,7500,Radiotherapy,Adult,65+, 3-6 Months,1,6MH
31-01-2021,7600,Cardio-Thoracic Surgery,Adult,16-64, 0-3 Months,1,29MH
31-01-2021,7600,Cardio-Thoracic Surgery,Adult,65+, 6-9 Months,1,10MH
31-01-2021,7800,Urology,Adult,16-64, 3-6 Months,102,30MH
31-01-2021,7800,Urology,Adult,16-64, 6-9 Months,56,35MH
31-01-2021,7800,Urology,Adult,16-64,12-15 Months,53,11MH
31-01-2021,8003,Pain Relief,Adult,16-64,15-18 Months,30,10MH
31-01-2021,400,Endocrinology,Adult,65+, 0-3 Months,16,20MH
31-01-2021,402,Diabetes Mellitus,Adult,16-64, 3-6 Months,2,15MH
31-01-2021,402,Diabetes Mellitus,Adult,16-64, 6-9 Months,2,17MH
31-01-2021,402,Diabetes Mellitus,Adult,16-64, 9-12 Months,2,16MH
31-01-2021,600,Otolaryngology (ENT),Adult,16-64,15-18 Months,50,13MH
31-01-2021,600,Otolaryngology (ENT),Adult,65+, 0-3 Months,28,21MH
31-01-2021,600,Otolaryngology (ENT),Adult,65+, 6-9 Months,46,9MH
31-01-2021,600,Otolaryngology (ENT),Adult,65+, 9-12 Months,5,7MH
31-01-2021,600,Otolaryngology (ENT),Adult,65+,18 Months +,4,3MH
31-01-2021,700,Gastro-Enterology,Adult,16-64,15-18 Months,1,16MH
31-01-2021,700,Gastro-Enterology,Adult,65+, 3-6 Months,31,30MH
31-01-2021,700,Gastro-Enterology,Adult,65+,12-15 Months,4,13MH
31-01-2021,1503,Gynaecology,Adult,16-64, 0-3 Months,65,14MH
31-01-2021,1503,Gynaecology,Adult,16-64, 3-6 Months,45,9MH
31-01-2021,1503,Gynaecology,Adult,16-64, 6-9 Months,71,33MH
31-01-2021,1503,Gynaecology,Adult,16-64,12-15 Months,86,35MH
31-01-2021,1700,Ophthalmology,Adult,65+, 0-3 Months,8,17MH
31-01-2021,1800,Orthopaedics,Adult,0-15, 0-3 Months,1,32MH
31-01-2021,1800,Orthopaedics,Adult,16-64, 0-3 Months,9,19MH
31-01-2021,2400,Respiratory Medicine,Adult,16-64, 3-6 Months,1,11MH
31-01-2021,2600,General Surgery,Adult,16-64,15-18 Months,34,32MH
31-01-2021,2600,General Surgery,Adult,16-64,18 Months +,58,7MH
31-01-2021,2600,General Surgery,Adult,65+, 0-3 Months,36,33MH
31-01-2021,2600,General Surgery,Adult,65+, 3-6 Months,19,23MH
31-01-2021,2600,General Surgery,Adult,65+, 9-12 Months,25,30MH
31-01-2021,2600,General Surgery,Adult,65+,12-15 Months,32,13MH
31-01-2021,2604,Vascular Surgery,Adult,16-64,15-18 Months,2,12MH
31-01-2021,2604,Vascular Surgery,Adult,65+, 0-3 Months,23,17MH
31-01-2021,2604,Vascular Surgery,Adult,65+,18 Months +,2,12MH
31-01-2021,7800,Urology,Adult,16-64, 0-3 Months,40,29MH
31-01-2021,100,Cardiology,Adult,16-64, 9-12 Months,91,21MH
31-01-2021,100,Cardiology,Adult,65+,18 Months +,74,33MH
31-01-2021,100,Cardiology,Child,0-15, 9-12 Months,12,7MH
31-01-2021,300,Dermatology,Adult,16-64, 0-3 Months,68,3MH
31-01-2021,300,Dermatology,Adult,65+, 6-9 Months,26,8MH
31-01-2021,300,Dermatology,Adult,65+,15-18 Months,36,27MH
31-01-2021,300,Dermatology,Child,0-15, 0-3 Months,18,33MH
31-01-2021,300,Dermatology,Child,0-15, 3-6 Months,11,24MH
31-01-2021,300,Dermatology,Child,0-15,12-15 Months,12,36MH
31-01-2021,300,Dermatology,Child,0-15,15-18 Months,12,30MH
31-01-2021,600,Otolaryngology (ENT),Adult,65+, 0-3 Months,43,26MH
31-01-2021,600,Otolaryngology (ENT),Adult,65+, 6-9 Months,41,22MH
31-01-2021,600,Otolaryngology (ENT),Adult,65+,15-18 Months,43,5MH
31-01-2021,600,Otolaryngology (ENT),Adult,65+,18 Months +,274,4MH
31-01-2021,700,Gastro-Enterology,Adult,16-64, 0-3 Months,88,6MH
31-01-2021,700,Gastro-Enterology,Adult,16-64, 3-6 Months,60,15MH
31-01-2021,700,Gastro-Enterology,Adult,16-64, 6-9 Months,44,30MH
31-01-2021,700,Gastro-Enterology,Adult,16-64,12-15 Months,10,4MH
31-01-2021,700,Gastro-Enterology,Adult,16-64,15-18 Months,2,5MH
31-01-2021,700,Gastro-Enterology,Adult,65+, 9-12 Months,9,28MH
31-01-2021,1100,Haematology,Adult,16-64, 6-9 Months,23,32MH
31-01-2021,1100,Haematology,Adult,16-64,15-18 Months,28,29MH
31-01-2021,1100,Haematology,Adult,65+, 9-12 Months,10,6MH
31-01-2021,1100,Haematology,Child,0-15, 9-12 Months,1,10MH
31-01-2021,1300,Neurology,Adult,16-64, 3-6 Months,53,25MH
31-01-2021,1300,Neurology,Adult,16-64, 6-9 Months,33,32MH
31-01-2021,1300,Neurology,Adult,16-64,12-15 Months,44,31MH
31-01-2021,1300,Neurology,Adult,16-64,15-18 Months,35,15MH
31-01-2021,1300,Neurology,Adult,65+, 9-12 Months,10,7MH
31-01-2021,1503,Gynaecology,Adult,65+, 0-3 Months,29,30MH
31-01-2021,1503,Gynaecology,Adult,65+,15-18 Months,11,3MH
31-01-2021,1503,Gynaecology,Adult,65+,18 Months +,65,5MH
31-01-2021,1503,Gynaecology,Child,0-15,18 Months +,2,27MH
31-01-2021,1600,Oncology,Adult,16-64, 0-3 Months,8,14MH
31-01-2021,1600,Oncology,Adult,65+, 3-6 Months,2,18MH
31-01-2021,1800,Orthopaedics,Adult,16-64, 9-12 Months,148,9MH
31-01-2021,1800,Orthopaedics,Adult,65+,18 Months +,160,4MH
31-01-2021,1800,Orthopaedics,Child,0-15, 9-12 Months,24,35MH
31-01-2021,1900,Paediatrics,Adult,16-64, 0-3 Months,2,21MH
31-01-2021,1900,Paediatrics,Adult,16-64, 3-6 Months,1,27MH
31-01-2021,1900,Paediatrics,Adult,16-64, 6-9 Months,1,1MH
31-01-2021,1900,Paediatrics,Adult,16-64,15-18 Months,1,36MH
31-01-2021,1900,Paediatrics,Child,0-15,15-18 Months,4,24MH
31-01-2021,2003,Maxillo-Facial,Adult,16-64, 0-3 Months,35,4MH
31-01-2021,2003,Maxillo-Facial,Adult,65+, 3-6 Months,14,2MH
31-01-2021,2003,Maxillo-Facial,Adult,65+, 6-9 Months,9,12MH
31-01-2021,2003,Maxillo-Facial,Adult,65+,12-15 Months,9,6MH
31-01-2021,2003,Maxillo-Facial,Adult,65+,15-18 Months,10,30MH
31-01-2021,2003,Maxillo-Facial,Child,0-15, 0-3 Months,13,18MH
31-01-2021,2003,Maxillo-Facial,Child,0-15, 3-6 Months,10,15MH
31-01-2021,2003,Maxillo-Facial,Child,0-15,12-15 Months,6,3MH
31-01-2021,2003,Maxillo-Facial,Child,0-15,15-18 Months,9,23MH
31-01-2021,2300,Nephrology,Adult,16-64, 6-9 Months,9,5MH
31-01-2021,2300,Nephrology,Adult,16-64, 9-12 Months,8,26MH
31-01-2021,2400,Respiratory Medicine,Adult,65+, 0-3 Months,46,17MH
31-01-2021,2400,Respiratory Medicine,Adult,65+, 6-9 Months,23,7MH
31-01-2021,2400,Respiratory Medicine,Adult,65+,15-18 Months,35,6MH
31-01-2021,2400,Respiratory Medicine,Adult,65+,18 Months +,36,7MH
31-01-2021,2400,Respiratory Medicine,Child,0-15,18 Months +,1,7MH
31-01-2021,2600,General Surgery,Adult,16-64, 9-12 Months,66,10MH
31-01-2021,2600,General Surgery,Adult,16-64,18 Months +,97,7MH
31-01-2021,2600,General Surgery,Adult,65+, 0-3 Months,91,13MH
31-01-2021,2600,General Surgery,Adult,65+, 3-6 Months,50,3MH
31-01-2021,2600,General Surgery,Adult,65+, 6-9 Months,36,32MH
31-01-2021,2600,General Surgery,Adult,65+,12-15 Months,42,20MH
31-01-2021,2600,General Surgery,Child,0-15, 0-3 Months,7,5MH
31-01-2021,2600,General Surgery,Child,0-15,18 Months +,4,33MH
31-01-2021,5000,General Medicine,Adult,16-64, 0-3 Months,109,36MH
31-01-2021,5000,General Medicine,Adult,16-64, 3-6 Months,78,32MH
31-01-2021,5000,General Medicine,Adult,16-64, 6-9 Months,48,8MH
31-01-2021,5000,General Medicine,Adult,16-64,12-15 Months,67,31MH
31-01-2021,5000,General Medicine,Adult,16-64,15-18 Months,55,15MH
31-01-2021,5000,General Medicine,Adult,65+, 9-12 Months,20,33MH
31-01-2021,5000,General Medicine,Child,0-15, 3-6 Months,2,23MH
31-01-2021,7800,Urology,Adult,65+, 9-12 Months,41,30MH
31-01-2021,7800,Urology,Adult,65+,18 Months +,41,29MH
31-01-2021,8000,Anaesthetics,Adult,16-64, 6-9 Months,10,30MH
31-01-2021,8000,Anaesthetics,Adult,16-64,12-15 Months,17,35MH
31-01-2021,8000,Anaesthetics,Adult,16-64,18 Months +,35,30MH
31-01-2021,8000,Anaesthetics,Adult,65+,15-18 Months,5,19MH
31-01-2021,8000,Anaesthetics,Child,0-15, 6-9 Months,1,23MH
31-01-2021,300,Dermatology,Adult,16-64, 0-3 Months,127,35MH
31-01-2021,300,Dermatology,Adult,16-64, 3-6 Months,145,7MH
31-01-2021,300,Dermatology,Adult,16-64, 6-9 Months,124,14MH
31-01-2021,300,Dermatology,Adult,16-64,12-15 Months,71,14MH
31-01-2021,300,Dermatology,Adult,16-64,15-18 Months,62,33MH
31-01-2021,300,Dermatology,Child,0-15, 0-3 Months,49,27MH
31-01-2021,300,Dermatology,Child,0-15,15-18 Months,18,2MH
31-01-2021,400,Endocrinology,Adult,16-64, 0-3 Months,36,25MH
31-01-2021,400,Endocrinology,Adult,16-64, 3-6 Months,39,30MH
31-01-2021,400,Endocrinology,Adult,16-64,12-15 Months,41,15MH
31-01-2021,400,Endocrinology,Adult,65+, 9-12 Months,10,24MH
31-01-2021,400,Endocrinology,Adult,65+,15-18 Months,15,18MH
31-01-2021,400,Endocrinology,Child,0-15, 6-9 Months,1,20MH
31-01-2021,400,Endocrinology,Child,0-15,12-15 Months,1,14MH
31-01-2021,402,Diabetes Mellitus,Adult,65+, 0-3 Months,2,23MH
31-01-2021,402,Diabetes Mellitus,Adult,65+,18 Months +,1,35MH
31-01-2021,600,Otolaryngology (ENT),Adult,16-64, 0-3 Months,155,11MH
31-01-2021,7800,Urology,Adult,65+, 3-6 Months,12,7MH
31-01-2021,7800,Urology,Adult,65+, 6-9 Months,5,31MH
31-01-2021,7800,Urology,Adult,65+, 9-12 Months,1,25MH
31-01-2021,7800,Urology,Adult,65+,12-15 Months,2,10MH
31-01-2021,600,Otolaryngology (ENT),Adult,16-64, 3-6 Months,279,23MH
31-01-2021,600,Otolaryngology (ENT),Adult,16-64,12-15 Months,186,5MH
